source,app_id,review_id,dedup_key,author,rating,title,body,version,country,updated,helpful_votes,lang,lang_method,is_junk,junk_reason,pii_scrubbed,sort_by,fetched_at
amp-page,839285684,2210969485,id:2210969485,大佳佳佳,5,每天打卡收获多多,简单好用好评,,cn,2018-02-15T14:20:16.000Z,0,zh,script-heuristic,False,,True,page,2026-08-12T09:33:51+00:00
amp-page,839285684,8536674076,id:8536674076,学号1953760,5,简单粗暴好用,新手进去很简单，动作容易模仿，一组30秒，容易上手，音乐也好听。8岁儿子强烈要求购买,,cn,2022-04-06T04:03:00.000Z,0,zh,script-heuristic,False,,True,page,2026-08-12T09:33:51+00:00
amp-page,839285684,3492973040,id:3492973040,Yayulia,5,Convenient,"I found this app is very convenient. If I miss my workout at gym, I just can choose 2-3 sets from app, that will be good. It has different workouts for different levels.",,cn,2018-12-04T16:29:19.000Z,0,en,script-heuristic,False,,True,page,2026-08-12T09:33:51+00:00
amp-page,839285684,6052795032,id:6052795032,Nandia from China,5,Thank you,Omg 😮 amazing result.... I didn’t believe it. But now I lost almost 11kg with this app app and keto... I just wanna say thank you guys. I hope everyone download this app u want losse weight.,,cn,2020-06-09T01:22:59.000Z,0,en,script-heuristic,False,,True,page,2026-08-12T09:33:51+00:00
amp-page,839285684,6400700303,id:6400700303,jelly2102,5,I really enjoyed my first day doing exercises.,It was my first day doing this in this app and I really enjoyed it.. I never do exercises but today I enjoyed doing it..,,cn,2020-09-06T09:49:56.000Z,0,en,script-heuristic,False,,True,page,2026-08-12T09:33:51+00:00
amp-page,839285684,10176154885,id:10176154885,jybvy,5,Daily 7,Great nice way to keep active,,cn,2023-07-24T11:36:03.000Z,0,en,script-heuristic,False,,True,page,2026-08-12T09:33:51+00:00
amp-page,839285684,3028449825,id:3028449825,Emilius33,5,Good free app,I really enjoy doing workouts with this free app. The range of different workouts and goals is pretty cool!,,cn,2018-08-07T03:45:48.000Z,0,en,script-heuristic,False,,True,page,2026-08-12T09:33:51+00:00
amp-page,839285684,5097045343,id:5097045343,000虫儿飞,5,great app,User friendly,,cn,2019-11-07T06:03:30.000Z,0,en,script-heuristic,False,,True,page,2026-08-12T09:33:51+00:00
rss,839285684,5861603040,id:5861603040,qwdvuubibhu,5,good,超好用啊，就什么时候能有个横屏呢,5.4.1,us,2020-04-25T04:16:09-07:00,0,zh,script-heuristic,False,,True,,2026-08-12T09:33:51+00:00
rss,839285684,6635843584,id:6635843584,kabacar,5,Very good,The best workout app I’ve used so far,5.4.16,us,2020-11-11T22:55:19-07:00,0,en,script-heuristic,False,,True,,2026-08-12T09:33:51+00:00
rss,839285684,5125126227,id:5125126227,北部方,5,perfect app,My favorite app for morning exercises!,4.3.0,us,2019-11-11T16:17:08-07:00,0,en,script-heuristic,False,,True,,2026-08-12T09:33:51+00:00
rss,839285684,4192535329,id:4192535329,Jayelle_lai,5,Excellent app,Clear instructions. Good for meeting workout targets. Fierce exercises.,3.5.2,us,2019-05-22T12:09:31-07:00,0,en,script-heuristic,False,,True,,2026-08-12T09:33:51+00:00
rss,839285684,3019148775,id:3019148775,tejxp,5,It rocks,"Amazing app,love it",3.2.3,us,2018-08-04T21:12:47-07:00,0,en,script-heuristic,False,,True,,2026-08-12T09:33:51+00:00
rss,839285684,4871268841,id:4871268841,李欣娣,1,一点都不好,垃圾东西 骗钱的 大家不要下载,4.1.1,us,2019-10-01T18:16:29-07:00,0,zh,script-heuristic,False,,True,,2026-08-12T09:33:51+00:00
rss,839285684,4028340302,id:4028340302,Afnan Al-Asbahi,5,Lovely,Awesome and useful,3.5.0,us,2019-04-18T06:24:35-07:00,0,en,script-heuristic,False,,True,,2026-08-12T09:33:51+00:00
rss,839285684,9875453632,id:9875453632,Lose your body,5,非常好,这个app非常好👍,6.4.1,us,2023-04-29T16:18:56-07:00,0,zh,script-heuristic,False,,True,,2026-08-12T09:33:51+00:00
rss,839285684,1333334752,id:1333334752,杨柳扶风,5,不错。,动作有动画或者视频就好了。有一些动作不知道怎么做，只能按自己理解了。,1.1,us,2016-02-15T03:50:06-07:00,0,zh,script-heuristic,False,,True,,2026-08-12T09:33:51+00:00
rss,839285684,1354309664,id:1354309664,龙年@大吉,5,不错,可以见此就会有效果,1.1,us,2016-03-27T03:04:51-07:00,0,zh,script-heuristic,False,,True,,2026-08-12T09:33:51+00:00
rss,839285684,1171657357,id:1171657357,lch727,5,很不错,不会有视频指导，每次都出好多汗,1.1,us,2015-03-22T02:15:30-07:00,0,zh,script-heuristic,False,,True,,2026-08-12T09:33:51+00:00
rss,839285684,1124547437,id:1124547437,MingChamimi,5,七分钟真不短,很累呀 很适合平时不运动的人,1.1,us,2015-01-04T07:01:53-07:00,0,zh,script-heuristic,False,,True,,2026-08-12T09:33:51+00:00
rss,839285684,1048345005,id:1048345005,dudaodao,5,Amazing,"This is an amazing lovely app !!
Help me to get back in shape and to get a good habit nice routine , nice design, nice idea , nice size , I need it n I love it so much !! 
And the movements here is not that easy so needs time to train and practice more and day by day !!",1.0,us,2014-08-17T08:17:09-07:00,0,en,script-heuristic,False,,True,,2026-08-12T09:33:51+00:00
rss,839285684,966180840,id:966180840,Quuuuemy,5,nice app,"Good for fitness, and even losing weight❤️👍",1.0,us,2014-03-26T21:50:21-07:00,0,en,script-heuristic,False,,True,,2026-08-12T09:33:51+00:00
rss,839285684,1117921137,id:1117921137,flora1984,5,useful,interesting and useful for me,1.1,us,2014-12-23T03:54:55-07:00,0,en,script-heuristic,False,,True,,2026-08-12T09:33:51+00:00
rss,839285684,988105732,id:988105732,针对woman,5,难得的,针对woman的难度,1.0,us,2014-05-05T06:09:19-07:00,0,zh,script-heuristic,False,,True,,2026-08-12T09:33:51+00:00
